Id,inid,pid,Inward,outward,bal,owner,mod_no. ,sn,alias
1514,129,28,0,2,-1,2,NULL,,false
1511,130,21,1,0,1,2,NULL,3J080BFPBQ0X70R,false
1512,130,133,1,0,0,2,NULL,VAC17100095A076753,false
1513,130,133,1,0,1,2,NULL,VAC1710095A076767,false
1527,127,31,0,1,29,2,NULL,,false
1526,127,216,0,4,11,2,NULL,,false
1529,127,199,0,20,-21,2,NULL,,false
1530,131,36,5,0,3,2,NULL,,false
1536,132,198,5,0,4,2,NULL,,false
1537,133,219,0,12,-12,6,NULL,122,false
1538,134,220,0,10,-10,2,NULL,,false
1539,135,21,1,0,2,2,NULL,,false
1540,135,163,10,0,10,2,NULL,,false
1541,136,16,0,1,0,2,NULL,,false
1542,136,21,0,1,1,2,NULL,,false
1543,136,27,0,4,93,2,NULL,,false
1544,136,37,0,1,74,2,NULL,,false
1545,137,163,0,9,1,2,NULL,,false
1546,137,27,0,18,75,2,NULL,,false
1547,137,28,0,9,-10,2,NULL,,false
1548,138,35,0,1,6,2,NULL,,false
