id,Cid,txn_id,date,type,owner,Created,CREATEDE_BY,modified,Modified_by
86,72,2474,2018-01-29,inward,2,2018-01-29 14:01:23,2,NULL,NULL
87,123,1339,2018-02-16,outward,2,2018-02-19 17:02:22,2,NULL,NULL
88,123,1339/1342,2018-02-16,outward,2,2018-02-19 17:02:22,2,2018-02-19 17:02:52,2
89,225,C/17-18/18177,2018-02-20,inward,2,2018-02-20 12:02:24,2,2018-02-20 16:02:53,2
90,265,1343,2018-02-20,outward,2,2018-02-20 12:02:18,2,2018-02-20 12:02:22,2
91,266,,2018-02-20,inward,2,2018-02-20 16:02:44,2,NULL,NULL
92,263,1344,2018-02-22,outward,2,2018-02-22 11:02:45,2,2018-02-22 11:02:40,2
93,268,1345,2018-02-27,outward,2,2018-02-27 16:02:16,2,2018-03-10 11:03:49,2
94,265,1346,2018-03-06,outward,2,2018-03-10 11:03:45,2,NULL,NULL
95,269,1349,2018-03-15,outward,2,2018-03-15 13:03:01,2,NULL,NULL
96,271,1350,2018-03-17,outward,2,2018-03-16 16:03:24,2,2018-03-17 16:03:31,2
97,225,C/17-18/20808,2018-03-16,inward,2,2018-03-17 14:03:01,2,NULL,NULL
98,225,C/17-18/20856,2018-03-17,inward,2,2018-03-17 14:03:53,2,NULL,NULL
99,174,SK/2017-18/08035,2018-03-17,inward,2,2018-03-17 14:03:18,2,2018-03-17 14:03:56,2
100,174,SK/2017-18/08419,2018-03-29,inward,2,2018-03-30 11:03:00,2,2018-03-30 12:03:30,2
101,274,,0000-00-00,inward,2,2018-04-02 12:04:40,2,2018-04-02 13:04:08,2
102,174,SK/2017-18/08500,2018-04-02,inward,2,2018-04-02 13:04:11,2,NULL,NULL
103,275,1359,2018-03-28,outward,2,2018-04-02 13:04:25,2,2018-04-03 13:04:34,2
104,224,55325,2018-04-06,inward,2,2018-04-06 14:04:12,2,2018-04-06 15:04:57,2
105,269,1360,2018-03-29,outward,2,2018-04-06 15:04:42,2,2018-04-09 13:04:55,2
106,276,1361,2018-03-29,outward,2,2018-04-06 15:04:55,2,2018-04-09 13:04:42,2
107,268,1363,2018-04-09,outward,2,2018-04-09 13:04:48,2,NULL,NULL
