Id,pid,Alias,cost_price,sell_price,Date
373,222,16 Ch. NVR Matrix 1602X 2 slot HDD,22110,38000,0000-00-00
378,226,,0,0,0000-00-00
379,227,,0,0,0000-00-00
380,228,,11350,19500,0000-00-00
381,229,,15650,23500,0000-00-00
382,230,,15650,23500,0000-00-00
386,123,,6,9,0000-00-00
388,122,,60,90,0000-00-00
391,231,,150,225,0000-00-00
390,232,,12,18,0000-00-00
393,233,,15,25,0000-00-00
395,234,,10,15,0000-00-00
399,235,,0,0,0000-00-00
400,236,,1100,2500,0000-00-00
